px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
2.78695	17.2638	4.92681	4.01219	0.503173	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.24725
2.61303	17.0806	4.9349	4.02938	0.492616	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251	0.203475
2.44028	16.9131	4.92257	4.02436	0.432252	2.55039	16.8884	2.4045	16.833	-3.38059	-3.78014	1.998
2.27131	16.7411	4.92128	4.03473	0.418174	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595	0.484534
2.09826	16.5476	4.92769	4.03866	0.380629	1.57735	16.0489	2.07221	16.4497	-3.26812	-3.88995	5.12756
1.94966	16.3197	4.94529	4.06918	0.393834	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216	2.5184
1.78393	16.1431	4.9371	4.06549	0.349667	1.74362	16.2687	1.75112	16.0557	-3.15656	-3.99261	0.976931
1.58208	15.9787	4.94987	4.05291	0.310688	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132	1.7988
1.46789	15.7467	4.96017	4.10734	0.383273	1.6097	15.5526	1.44111	15.6517	-3.04644	-4.08832	2.31687
1.30089	15.5342	4.98092	4.11823	0.371592	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364	1.28647
1.14618	15.3411	4.98025	4.12375	0.351177	0.828993	15.528	1.14201	15.2386	-2.93825	-4.1773	0.914594
0.946471	15.1328	5.01587	4.11722	0.31854	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933	3.55565
0.792338	14.9489	5.00263	4.11126	0.276951	1.03147	15.2134	0.853604	14.8169	-2.83246	-4.25977	1.85275
0.675878	14.7315	4.99644	4.13685	0.29207	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864	0.275874
0.575308	14.4903	5.00612	4.18479	0.352658	0.722177	14.2445	0.575628	14.3872	-2.72952	-4.33598	2.0659
0.405598	14.2748	5.02941	4.18418	0.328455	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181	1.56372
0.307791	14.0261	5.04927	4.23843	0.405773	-0.0328023	13.9604	0.307779	13.9502	-2.62984	-4.40617	4.02526
0.269031	13.7705	5.03168	4.29573	0.453687	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909	2.66711
0.179962	13.53	5.04158	4.33376	0.486869	0.0524412	13.6377	0.0497099	13.5065	-2.53381	-4.47061	1.27159
0.0148226	13.3086	5.06723	4.32291	0.438977	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075	2.56379
-0.102443	13.0881	5.06144	4.32462	0.402508	-0.275043	13.1456	-0.198962	13.0566	-2.44179	-4.52955	0.84051
-0.131894	12.8509	5.03555	4.37377	0.442976	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704	2.18551
-0.25581	12.6252	5.03357	4.36336	0.383795	-0.684792	12.3563	-0.438654	12.6011	-2.35412	-4.58326	3.8479
-0.37803	12.3918	5.04629	4.36401	0.358038	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823	0.630973
-0.511656	12.1814	5.03909	4.34709	0.30236	-0.972122	12.5207	-0.669818	12.1404	-2.27111	-4.63198	3.71708
